place,province,lat,long,violation,sanction,fine_certainty,fine_value,number_of_charges_or_violations,number_of_people,individual_business,report_month,acting_agency,legislation,known_demographic,event_desc,event_url,other_event_url
"hamilton, ontario ",on,43.2557,-79.8711,non-essential business ,$750 fine,yes,880,1,1,business,mar,hamilton police service,emergency management act,"shisha kaif cafe,  hookah lounge",covid-19: hamilton police arrest alleged drug dealer  for violating shutdown of non-essential businesses,https://nationalpost.com/news/covid-19-hamilton-police-arrest-alleged-drug-dealer-for-violating-shutdown-of-non-essential-businesses,
"quebec city, quebec",qc,46.8139,-71.208,disobeying 14-day self-isolation quarantine order after testing positive for covid-19,arrest,no,,1,1,individual,mar,service de police de la ville de quebec,public health act,woman,a woman who tested positive for covid-19 was arrested in quebec city after she left isolation,https://montreal.ctvnews.ca/mobile/a-woman-who-tested-positive-for-covid-19-was-arrested-in-quebec-city-after-she-left-isolation-1.4862611?fbclid=IwAR2wjwS9qJL75XWw7R-adA-BV3cYmLaJAwYKqg5mVMpoq94QK5IKuIDe49w,
"corner brook, newfoundland ",nf,48.949,-57.9503,disobeyed mandatory 14-day quarantine imposed due to recently travelling into the province,"arrest, one night in jail,  fine of betweenê$500 and $2,500",yes,500,1,1,individual,mar,royal newfoundland constabulary,public health and promotion act,woman,n.l. woman arrested for refusing to self-isolate after talking to police ,https://atlantic.ctvnews.ca/n-l-woman-arrested-for-refusing-to-self-isolate-after-talking-to-police-1.4867570,
"rothesay, new brunswick, canada",nb,45.3765,-65.9915,coughing on people after failing to self-isolate,assault ,no,,2,2,individual,mar,kennebecasis regional police force,criminal code,two men,two new brunswick men charged with assault for coughing on others,https://beta.ctvnews.ca/local/atlantic/2020/3/26/1_4870505.html,
"ottawa, ontario ",on,45.4215,-75.6972,spitting at police and claiming to have covid-19 while attempting to steal a bicycle,assault,no,,1,1,individual,mar,ottawa police service,criminal code,man,"assault charges laid after man spit on ottawa police officer, saying he had covid-19",https://www.ottawamatters.com/police-beat/assault-charges-laid-after-man-spit-on-ottawa-police-officer-saying-he-had-covid-19-2205546,
"truro, nova scotia ",ns,45.3658,-63.2869,disobeyed mandatory 14-day quarantine imposed due to recently travelling into the province,"$1,000 fine ",yes,1000,1,1,individual,mar,truro police service,public health act,man,truro man ticketed for failing to self isolate,https://atlantic.ctvnews.ca/truro-man-ticketed-for-failing-to-self-isolate-1.4873457,
"point pleasant park, halifax, nova scotia ",ns,44.6233,-63.5686,disobeying park closure measures ,"$697.50 fine, vehicle seized",yes,697.5,1,1,individual,mar,halifax regional police,emergency management act,woman,"halifax police seize vehicle, issue ticket to woman violating covid-19 emergency order",https://globalnews.ca/news/6748452/halifax-police-issue-ticket-covid-19-emergency-order/,
"loon lake, saskatchewan",sk,54.0262,-109.1585,gatherings of more than 10 people without maintaining a two-metre distance between people,$2000 fine,yes,2000,11,11,individual,mar,royal canadian mounted police,public health act,"10 adults, one youth, stolen vehicle, weapons invovled ",chase of suspicious suv ends with 11 occupants charged with breaking covid-19 law,https://www.carlyleobserver.com/chase-of-suspicious-suv-ends-with-11-occupants-charged-with-breaking-covid-19-law-1.24108639,
"dartmouth, nova scotia ",ns,44.6661,-63.5676,disobeying emergency parking regulations,$697.50 fine ,yes,697.5,1,1,individual,mar,halifax regional police,emergency management act,man,dartmouth man fined $697.50 under emergency management act,https://www.halifaxtoday.ca/police-beat/dartmouth-man-fined-69750-under-emergency-management-act-2214542?utm_source=dlvr.it&utm_medium=twitter,
"hamilton, ontario ",on,43.2557,-79.9081,non-essential business,$750 fine,yes,880,1,1,business,mar,hamilton police service,emergency management act,"man, independent drug dealer",hamilton police arrest alleged drug dealer  for violating shutdown of non-essential businesses,https://nationalpost.com/news/covid-19-hamilton-police-arrest-alleged-drug-dealer-for-violating-shutdown-of-non-essential-businesses,
"edmonton, alberta",ab,53.5461,-113.4938,threatending  ex-partner claiming to have covid-19,uttering threats ,no,,1,1,individual,apr,edmonton police service,criminal code ,man,man showing up at exs home saying he has covid-19 leads to charges: edmonton police,https://globalnews.ca/news/6775924/edmonton-police-uttering-threats-covid-19/ ,
"gatineau, quebec",qc,45.4765,-75.7013,lying about a positive covid-19 diagnosis,obstructing a peace officer ,no,,1,1,individual,mar,service depoliceêde la ville deêgatineau,criminal code,woman,gatineau woman facing charges for lying about covid-19 diagnosis,https://montreal.ctvnews.ca/gatineau-woman-facing-charges-for-lying-about-covid-19-diagnosis-1.4881990,
"hamilton, ontario ",on,43.2464,-79.9081,disobeying park closure measures ,$750 fine,yes,880,3,3,individual,apr,hamilton police service,emergency management and civil protection act,"3 adults, golfing",three fined under covid-19 emergency orders for golfing on closed chedoke golf course,https://globalnews.ca/news/6776857/three-fined-golfing-chedoke-covid-19/,
"brampton, ontario ",on,43.7315,-79.7624,non-essential business ,$750 fine,yes,880,2,2,business,apr,peel region police,emergency management and civil protection act,"tattoo parlour, car wash ",city of brampton issues eight physical distancing fines,https://www.inbrampton.com/city-of-brampton-issues-eight-physical-distancing-fines,
"brampton, ontario ",on,43.7315,-79.7624,"gathering of more than 5 people, violating social distancing ",$750 fine,yes,880,95,95,individual,mar/apr,peel region police,covid-19 by-law,"5 house parties, 2 cricket matches among 35 physical-distancing fines","5 house parties, 2 cricket matches among 35 physical-distancing fines issued in brampton",https://www.inbrampton.com/brampton-issues-30-additional-physical-distancing-fines-amid-covid-19-outbreak,https://globalnews.ca/video/6852611/coronavirus-outbreak-brampton-issues-111-warnings-30-charges-laid-under-covid-19-bylaws
"chisasibi, quebec",qc,53.7826,-78.8937,violating social distantcing and gathers of more than 10 people ,$1000 fine ,yes,1000,15,15,individual,apr,department of the eeyou eenou police force ,public health act,"13 people, cree reserve community ",police shut down house parties for disobeying social distancing ,https://www.facebook.com/EeyouEenouPoliceForce/photos/a.351055118297059/2825445524191327/?type=3&theater,
"kitchener, ontario",on,43.4516,-80.4925,disobeying park closure orderê,$750 fine,yes,880,1,1,individual,apr,waterloo regional police service,emergency management and civil protection act,not specified,kitchener issues first charge under new covid-19 rules,https://www.kitchenertoday.com/local-news/kitchener-issues-first-charge-under-new-covid-19-rules-2229788,
"toronto, ontario ",on,43.6532,-79.3832,disobeying physical distancing,$750 fine,yes,880,505,505,individual,apr/may,toronto police services,emergency management and civil protection act,not specified,"505 orders: toronto police enforcing city bylaws, provincial orders to stop covid-19 spread",https://www.toronto.ca/home/media-room/news-releases-media-advisories/?nrkey=3F3B1E973EDAE16585258555006C4D28,https://www.cbc.ca/news/canada/toronto/physical-distancing-enforcement-toronto-police-mississauga-1.5522303
"toronto, ontario ",on,43.6532,-79.9081,non-essential business,$750 fine,yes,880,71,71,business,apr/may,toronto police services,emergency management and civil protection act,not specified,"toronto police enforcing city bylaws, provincial orders to stop covid-19 spread",https://www.toronto.ca/home/media-room/news-releases-media-advisories/?nrkey=3F3B1E973EDAE16585258555006C4D28,
"millbrook, nova scotia",ns,45.3309,-63.3076,non-essential buisness,$7500 fine,yes,7500,1,1,business,mar,royal canadian mounted police,health protection act,not specified,business fined for staying open - law expert says enforcement of covid-19 rules is complicated,https://www.cbc.ca/news/canada/nova-scotia/wayne-mackay-legal-expert-dalhousie-university-information-morning-covid-19-enforcement-1.5514942?fbclid=IwAR1tFLbY1pcCIDboibx4aM7AnWqQNFEYX-sysUjwYhiKZZd6Q8y-ziyPCno,
"richmond, british columbia",bc,49.1666,-123.1336,running a business without a licence for selling covid-19 masks ,"$1,000 fine ",yes,1000,1,1,business,mar,royal canadian mounted police,emergency program act,"man, 22 years old, fraud  ",b.c. man busted for selling black market medical masks in richmond,https://globalnews.ca/news/6736495/bc-bans-resale-coronavirus/,
"hamilton, ontario ",on,43.2464,-79.9081,lying about covid-19 infection to stay home from work,"fraud under $5,000 ",no,,1,1,individual,mar,hamilton police service,criminal code,woman,"hamilton mcdonald's worker charged, police say she used fake doctor's note saying she had virus",https://globalnews.ca/news/6740139/coronavirus-hamilton-woman-charged-mcdonalds-fake-positive-covid-19-test/,
"toronto, ontario ",on,43.6532,-79.3832,illegal coronavirus testing kits ,"fraud under $5,000 ",no,,1,1,individual,mar,toronto police services,criminal code,man,toronto police charge man involved in coronavirus fraud investigation,https://globalnews.ca/news/6740708/toronto-police-coronavirus-fraud/,
"ottawa, ontario ",on,45.4215,-75.6972,coughing on police after alleged break-in,assault,no,,1,1,individual,mar,ottawa police service,criminal code,woman,"woman charged after allegedly coughing on police, claiming to have covid-19",https://www.cbc.ca/news/canada/ottawa/woman-ottawa-police-covid-19-charged-1.5522673,
"edmonton, alberta",ab,53.5461,-113.4938,coughing on transit employee and claiming to have covid-19 ,"assault (2 counts), assault of a peace officer, contravening an order of the chief medical officer under the public health act.",no,,3,1,individual,apr,edmonton police service,"criminal code, public health act ",man,"edmonton man who said he had covid-19 charged after coughing on bus driver, officers",https://edmonton.ctvnews.ca/edmonton-man-who-said-he-had-covid-19-charged-after-coughing-on-bus-driver-officers-1.4884638,
"prince county, prince edward island ",pei,46.8015,-63.9234,gathering with more than 5 people,$1000 fine ,yes,1000,3,3,individual,apr,royal canadian mounted police,public health act,"woman, other not specified ","womancharged thursday when she held a gathering with more than five people in attendance, the province said ",https://www.cbc.ca/news/canada/prince-edward-island/pei-covid-19-sunday-april-4-1.5522459,
"summerside, prince edward island ",pei,46.3934,-63.7902,failing to self-isolate upon returning from out of province ,$1000 fine ,yes,1000,1,1,individual ,mar,summerside police service,public health act ,man,summerside police issued p.e.i.'s first ticket for violating a public health order in relation to the covid-19 pandemic on tuesday,https://atlantic.ctvnews.ca/p-e-i-man-fined-1-000-for-not-self-isolating-after-being-warned-twice-1.4876123,
"montreal, quebec ",qc,45.5017,-73.6682,disobeying physical distancing  ,$1546 fine,yes,1546,1841,1841,individual ,apr,service de police de la ville de montreal,public health act,not specified,quebec police hand out hundreds of tickets for not respecting physical distancing,https://montrealgazette.com/news/local-news/montreal-police-issued-fewer-tickets-for-illegal-gatherings-last-week/wcm/84b1b2a3-acc8-436a-9b77-5f820a337bd5/,https://www.cbc.ca/news/canada/montreal/quebec-montreal-police-covid-19-1.5523176
"ahuntsic, quebec",qc,45.5552,-73.5673,disobeying physical distancing ,$1546 fine,yes,1546,12,12,individual ,apr,service de police de la ville de montreal,public health act,"12 people, playing soccer",le spvm distribue des amendes salees,https://www.lapresse.ca/covid-19/202004/06/01-5268157-le-spvm-distribue-des-amendes-salees.php,
